ID,Name,N,E
139,Балымерское IV селище,54.848641667000038,48.962972222000076
140,Балымерское V селище,54.847300000000075,48.964741667000055
142,Полянское II селище,54.826636111000028,48.984025000000031
143,Балымерское II (Турецкая крепость) городище,54.888441667000052,48.941491667000037
144,Урнякское городище,54.911983333000080,48.932458333000056
145,Бабий Бугор селище,54.987108333000037,49.043613889000028
146,Коптелов Бугор городище,54.987325000000055,49.064138889000048
147,Щербетьское  Островное I селище,55.018611111000041,49.267347222000069
148,Щербетьское  Островное II селище,55.020677778000049,49.261680556000044
149,Малиновка II селище,55.120094444000074,49.402119444000050
150,Малиновка IV селище,55.109161111000049,49.400547222000057
151,Ембулатихинское I селище,55.069372222000027,49.361752778000039
152,Ембулатихинское II селище,55.073305556000037,49.367502778000073
153,Ембулатихинское III селище,55.082541667000044,49.363211111000055
154,Ембулатихинское IV селище,55.084950000000049,49.363297222000028
155,Куйбышевское  I селище,55.046144444000049,49.302258333000054
156,Куйбышевское II селище,55.047483333000059,49.398858333000078
157,Куйбышевское III селище,55.045172222000076,49.394138889000033
158,Куйбышевское IV селище,55.049144444000035,49.384202778000031
159,Куйбышевское V селище,55.041188889000068,49.379444444000058
160,Косяковское I селище,55.066658333000078,49.432333333000031
161,Косяковское II селище,55.060525000000041,49.422350000000051
162,Кураловское селище,55.036616667000033,49.421516667000049
163,Никольское селище,54.920011111000065,49.397483333000082
164,Антоновское селище,54.915336111000045,49.528575000000046
165,Хланеевское селище,54.864830556000072,49.550905556000032
166,Нижнеборисковское селище,54.815269444000080,49.580486111000027
167,Кошкинское селище,54.835169444000030,49.631597222000039
168,Тюгульбаевское I селище,54.823700000000031,49.654350000000079
169,Тюгульбаевское II селище,54.808772222000073,49.669113889000073
170,Девичий городок селище,55.132894444000044,49.477441667000051
171,Измерское I селище,55.132208333000051,49.539127778000079
172,Измерское местонахождение,55.123391667000078,49.546825000000069
173,Коминтерновское городище,55.153377778000049,49.586563889000047
174,Коминтерновское I селище,55.153600000000040,49.592300000000080
175,Коминтерновское II селище,55.154400000000066,49.596700000000055
176,Коминтерновское III селище,55.140833333000046,49.559716667000032
177,Коминтерновское IV (Курган) селище,55.152713889000040,49.566544444000044
178,Пичкасское I селище,55.129305556000077,49.553144444000054
179,Пичкасское II селище,55.131147222000038,49.560911111000053
180,Пичкасское местонахождение,55.119466667000040,49.552927778000026
181,Вожинское селище,55.109847222000042,49.588247222000064
182,Бураковское I селище,55.134500000000060,49.664500000000032
183,Бураковское II городище,55.135100000000079,49.665900000000079
184,Бураковское III селище,55.127222222000057,49.666180556000029
185,Кожаевское селище,55.123594444000048,49.639055556000073
186,Каюковское селище,55.142000000000053,49.704361111000026
187,Базяковское селище,55.143913889000032,49.716119444000071
188,Войкинское I селище,55.110002778000080,49.765838889000065
189,Войкинское III селище,55.105880556000045,49.768458333000069
190,Войкинское IV селище,55.102122222000048,49.793133333000071
191,Войкинское V селище,55.114030556000046,49.787983333000057
192,Ямкинское I селище,55.105780556000070,49.755066667000051
193,Ямкинское  IV селище,55.110052778000068,49.734855556000070
194,Караваевское I селище,55.098955556000078,49.831927778000079
195,Караваевское II селище,55.096425000000067,49.835877778000054
196,Гурьевское III селище,55.052766667000071,49.894241667000074
197,Старосельское I селище,55.030888889000039,49.890977778000035
198,Базарноматакское I селище,54.933747222000079,49.957552778000036
199,Базарноматакское II селище,54.939555556000073,49.952702778000059
200,Биктемировское селище,54.868266667000057,49.954458333000048
201,Тяжбердинское I селище,54.850261111000066,49.923041667000064
202,Тяжбердинское II селище,54.847294444000056,49.928363889000082
203,Березовогривское городище,55.190477778000059,49.716336111000032
204,Мокрокурналинское I селище,55.317288889000054,49.963136111000040
205,Мокрокурналинское III селище,55.303627778000077,50.011991667000075
206,Мокрокурналинское I местонахождение,55.291566667000041,49.930369444000064
207,Мокрокурналинское III местонахождение,55.296705556000063,50.038452778000078
208,Остолоповское II селище,55.359780556000032,50.328888889000041
209,Большетигановское I селище,55.116836111000055,50.137577778000036
210,Большетигановское III селище,55.148852778000048,50.136847222000029
211,Ошнякское II селище,55.096877778000078,50.131225000000029
212,Ледокольское селище,55.119527778000077,50.243250000000046
213,Ледокольское местонахождение,55.119333333000043,50.238100000000031
214,Лягушкинское I селище,55.134227778000081,50.244194444000073
215,Лягушкинское II селище,55.123552778000033,50.237500000000068
216,Байтеряковское I селище,55.364800000000059,50.370600000000081
217,Байтеряковское III селище,55.342800000000068,50.375900000000058
218,Байтеряковское IV селище,55.337000000000046,50.377300000000048
219,Березовское городище,55.390897222000035,50.463852778000046
220,Новочистопольское I селище,55.346072222000032,50.669452778000050
221,Новочистопольское II селище,55.337633333000042,50.653119444000026
222,Новочистопольское IV селище,55.340097222000054,50.651488889000063
223,Новочистопольское V селище,55.332788889000028,50.647080556000049
224,Галактионовское I местонахождение,55.385350000000074,50.816127778000066
225,Русскосарсазское городище,55.419952778000038,51.005766667000046
226,Русскосарсазское I местонахождение,55.412305556000035,51.014425000000074
227,Суворовское селище,55.403883333000067,51.086419444000057
228,Свердловское I селище,55.364041667000038,51.147247222000033
229,Среднетолкишкинское I селище,55.342322222000064,51.013841667000065
230,Татсунчелеевское городище,54.724538889000030,50.735941667000077
231,Татсунчелеевское I селище,54.726080556000056,50.735802778000050
232,Татсунчелеевское II селище,54.729697222000027,50.713116667000065
233,МЮД I селище,54.725183333000075,50.756719444000055
234,МЮД II селище,54.713683333000063,50.780280556000037
235,МЮД III селище,54.717072222000070,50.771466667000027
236,Старомокшинское городище,54.727658333000079,50.806533333000061
237,Старомокшинское I селище,54.724291667000045,50.802241667000033
238,Старомокшинское III селище,54.725088889000062,50.803355556000042
239,Старокиязлинское I селище,54.734850000000051,51.043155556000045
240,Старокиязлинское II селище,54.740561111000034,51.054913889000034
241,Новокутушское II селище,54.709636111000066,51.153333333000035
242,Новокутушское III селище,54.711855556000046,51.164063889000033
243,Ульяновское I селище,54.727811111000051,51.242825000000039
244,Ульяновское II селище,54.730833333000078,51.252266667000072
245,Староильимовское II селище,54.744663889000037,51.344311111000081
246,Тюрнясевское  I селище,54.602627778000056,50.583688889000030
247,Тюрнясевское II селище,54.605450000000076,50.597658333000027
248,Кичкальнинское селище,54.730072222000047,50.367827778000049
249,Нижнекачеевское V селище,54.679358333000039,50.016722222000055
250,Нижнекачеевское III селище,54.672975000000065,50.020391667000069
251,Нижнекачеевcкое V местонахождение,54.679552778000073,50.022369444000049
252,Нижнеалькеевcкое III селище,54.787097222000057,50.080788889000075
253,Нижнеалькеевcкое II селище,54.783413889000030,50.074041667000074
254,Чувбродcкое III селище,54.731152778000080,50.081338889000051
255,Юхмачинское селище,54.642566667000040,49.998975000000030
256,Верхнеальмурзинское I селище,54.617950000000064,49.909511111000029
257,Верхнеальмурзинское II селище,54.620966667000062,49.909941667000055
258,Белозерское селище,54.520633333000035,50.002891667000029
259,Новосахчинское местонахождение,54.449980556000071,50.015841667000075
260,Старосахчинское селище,54.433755556000051,49.916380556000036
261,Сихтерьминское селище,54.764786111000035,49.888077778000081
263,Старосантемировское II селище,54.312716667000075,50.076425000000029
264,Новокармалинское местонахождение,54.390322222000066,50.310550000000035
265,Старокармалинское местонахождение,54.422044444000051,50.287291667000034
266,Маломаксимкинское I селище,54.440616667000029,50.324283333000039
267,Маломаксимкинское II селище,54.453241667000043,50.309950000000072
268,Старомаксимкинское местонахождение,54.477430556000058,50.338697222000064
269,Каргоринское III местонахождение,54.536966667000058,50.650791667000078
270,Каргоринское селище,54.530566667000073,50.711658333000059
271,Русско-Менчинское селище,54.547983333000047,50.684591667000063
272,Бурметьевское II селище,54.572794444000067,50.822969444000080
273,Бурметьевское III селище,54.576127778000057,50.835200000000043
274,Вишневополянское I селище,54.528522222000049,50.745863889000077
275,Вишневополянское II селище,54.547994444000039,50.739297222000062
276,Сиделькинское I селище,54.547838889000047,51.103058333000035
277,Сиделькинское II селище,54.550277778000066,51.104988889000026
278,Сиделькинское III селище,54.547763889000066,51.107391667000059
280,Чувашское Эштебенькино I селище,54.597133333000045,51.141983333000042
281,Чувашское Эштебенькино II селище,54.610380556000052,51.170950000000062
282,Баганское селище,54.620072222000033,51.189147222000031
283,Каменнобродское I селище,54.638380556000072,51.328577778000067
284,Каменнобродское II селище,54.640069444000062,51.261288889000070
285,Искровское селище,54.657127778000074,51.305105556000058
286,Казанкинское II селище,54.666658333000044,51.333111111000051
287,Казанкинское III селище,54.678569444000061,51.389930556000081
288,Пролетарское городище,54.542391667000061,51.054213889000039
289,Карабикуловское I селище,54.428497222000033,51.770702778000043
290,Покровское селище,54.473033333000046,51.179300000000069
291,Покровское I местонахождение,54.471786111000029,51.205350000000067
292,Покровское II местонахождение,54.468183333000070,51.208138889000054
294,Сотниковское I селище,54.690180556000030,51.467777778000027
295,Сотниковское II селище,54.704541667000058,51.481783333000067
296,Сотниковское IV селище,54.715425000000039,51.507961111000043
297,Сотниковское V селище,54.706827778000047,51.479036111000028
298,Сотниковское III селище,54.712580556000034,51.490494444000035
299,Сотниковское VI селище,54.697458333000043,51.461541667000063
300,Урнякское I селище,54.583877778000044,50.814813889000050
301,Урнякское II селище,54.583252778000031,50.824397222000073
302,Урнякское III селище,54.586288889000059,50.847463889000039
303,Курманаевское I селище,54.565272222000033,50.881008333000068
304,Курманаевское II селище,54.551475000000039,50.901444444000049
305,Единение селище,54.549886111000035,50.633497222000074
306,Краснозвездинское селище,54.568641667000065,50.773975000000064
307,Сосновкинское I селище,55.122505556000078,51.241766667000036
308,Сосновкинское II селище,55.123055556000054,51.218497222000053
309,Сосновкинское III селище,55.121388889000059,51.222005556000056
310,Ленинское I местонахождение,55.204208333000054,51.270097222000061
311,Ленинское III местонахождение,55.187683333000052,51.280736111000067
312,Горшковское I селище,55.247061111000050,51.226597222000066
313,Буденновское селище,55.338680556000043,51.189172222000082
314,Кармалкинское селище,55.321194444000071,51.211594444000070
315,Кулмаксинское селище,55.274091667000050,51.248700000000042
316,Архангельское I селище,55.127658333000056,51.250716667000063
317,Архангельское II селище,55.140058333000070,51.257925000000057
318,Архангельское III местонахождение,55.184405556000058,51.297188889000040
319,Архангельское V местонахождение,55.122744444000034,51.246883333000028
320,Старопальчиковское I селище,55.388694444000066,51.917072222000058
321,Старопальчиковское местонахождение,55.387241667000069,51.927366667000058
322,Старопальчиковское городище,55.403500000000065,51.893216667000047
323,Малопальчиковское селище,55.382186111000067,51.868622222000056
324,Малопальчиковское местонахождение,55.386036111000067,51.853097222000031
325,Тубинское I селище,55.476391667000030,51.764866667000035
326,Ташлыкское I селище,55.492197222000073,51.788769444000081
327,Зай-Чишминское селище,55.071572222000043,52.122994444000028
328,Ямашское селище,55.021786111000040,52.176002778000054
329,Новомавринское селище,55.096372222000070,52.092147222000051
330,Петровкинское селище,55.011352778000060,52.179950000000076
331,Подлесношенталинское городище,55.094661111000050,50.350966667000080
332,Ржавецкое I селище,54.999688889000026,49.164491667000050
333,Ржавецкое II селище,54.999294444000043,49.147583333000057
334,Ржавецкое IV селище,54.999638889000039,49.152947222000080
335,Щербетьское II селище,55.000891667000076,49.311463889000038
336,Щербетьское III селище,55.002122222000082,49.305541667000057
337,Светло-Ключинское городище,55.462966667000046,51.558094444000062
338,Селенгушское I селище,54.734516667000037,50.471769444000074
339,Селенгушское II селище,54.736758333000068,50.471038889000056
341,Танайка городище,55.747266667000076,51.922002778000035
342,Чабьинское селище,55.642363889000080,51.848633333000066
343,Набережно-Челнинское I селище,55.725694444000055,52.347097222000059
344,Батраковское селище,55.815902778000066,52.656011111000055
345,Деуковское I селище,55.786075000000039,52.916291667000053
346,Калмашское селище,55.719722222000030,52.629102778000060
347,Кузкеевское селище,55.774833333000061,52.801927778000049
348,Подгорно-Байларское IV селище,55.746744444000058,52.989997222000056
349,Кырнышское IV селище,55.854002778000051,52.733941667000067
350,Кырнышское III селище,55.844852778000075,52.733333333000076
351,Новобиксентеевское селище,55.713250000000073,53.412766667000028
352,Дербешкинское II местонахождение,55.853850000000079,53.503655556000069
353,Тавлинское селище,55.650300000000072,48.278700000000072
354,Рождественское VI селище,55.420111111000040,49.364113889000066
355,Байчугинское погребение,55.337736111000027,49.451050000000066
356,Байчугинское I селище,55.339030556000068,49.449288889000059
357,Байчугинское II селище,55.341152778000037,49.447530556000061
358,Рождественское II селище,55.417188889000045,49.372525000000053
359,Богородицкий могильник,55.428802778000033,49.680513889000053
360,Богородицкое I селище,55.425591667000049,49.664494444000070
361,Именьковский III могильник,55.425652778000028,49.713683333000063
362,Именьковское II селище,55.425530556000069,49.715955556000040
363,Кирюшкин городок городище,55.370300000000043,49.853400000000079
364,Мурзихинское III местонахождение,55.343483333000052,49.976602778000029
365,Кубасское селище,55.383447222000029,50.416594444000054
366,Кубасское местонахождение,55.386180556000056,50.409586111000067
367,Николаевское I селище,55.465319444000045,50.422200000000032
368,Троицко-Урайский могильник,55.465033333000065,50.204938889000061
369,Троицко-Урайское II селище,55.461972222000043,50.206402778000040
370,Троицко-Урайское III селище,55.461936111000057,50.208377778000056
371,Алексеевское X селище,55.347197222000034,50.017986111000027
372,Бурнашевское II селище,55.411161111000069,50.928005556000073
373,Малополянское V селище,55.398588889000052,50.973794444000077
374,Суворовское II селище,55.408513889000062,51.097933333000071
375,Большеатынское VI местонахождение,55.406138889000033,51.747600000000034
376,Имянлебашское I селище,55.358955556000069,51.836291667000069
377,Краснокадинское селище,55.420697222000058,51.796183333000045
378,Малоатынское I селище,55.451352778000057,51.756775000000061
379,Малоатынское II селище,55.440133333000063,51.771238889000074
380,Малоерыклинское II селище,55.465766667000082,51.680855556000040
381,Самарцевское селище,55.360447222000062,51.844913889000054
382,Старопальчиковское II селище,55.388183333000029,51.930925000000059
383,Тубинское II селище,55.462563889000080,51.764969444000030
384,Канонерское I местонахождение,55.665938889000074,52.967222222000032
385,Тамьянское I селище,55.370155556000043,53.069983333000039
386,Кзыл-Тауское I селище,55.179677778000041,48.197022222000044
387,Кзыл-Тауское II селище,55.185658333000049,48.198911111000029
388,Кзыл-Тауское III селище,55.192616667000038,48.193761111000072
389,Кзыл-Тауское IV селище,55.202727778000053,48.177947222000057
390,Бикеевское местонахождение,55.245336111000029,48.832980556000052
391,Бикеевское I – II селище,55.244661111000028,48.885219444000029
392,Большеатрясское I селище,55.113350000000082,48.760200000000054
393,Долгополянское I селище,55.047977778000075,48.920941667000079
394,Малоболгоярское селище,55.209222222000051,48.763155556000072
395,Измерское селище,55.138300000000072,49.499700000000075
396,Девичий Городок II селище,55.133922222000081,49.482161111000039
397,Девичий Городок I селище,55.130100000000027,49.460200000000043
398,Измерский IX могильник,55.133297222000067,49.470486111000071
399,Селище на месте Куйбышевского городища,55.044263889000035,49.382850000000076
400,Новомордовское II селище,55.030602778000059,49.144675000000063
401,Саралинское I селище,55.328125000000057,49.226225000000056
402,Саралинское II селище,55.327494444000081,49.228800000000035
403,Семеновское II селище,55.149238889000060,49.476963889000046
404,Семеновское V селище,55.157980556000041,49.490058333000036
405,Соколовское I а селище,55.101438889000065,49.428555556000049
406,Соколовское II а селище,55.106055556000058,49.434908333000067
407,Соколовское III селище,55.112730556000031,49.441258333000064
408,Соколовское IV селище,55.117738889000066,49.438341667000032
409,Старокуйбышевский могильник,55.049497222000070,49.386361111000042
410,Селище на месте Сюкеевского городища,55.075988889000030,49.042455556000050
411,Ташкирменьский могильник,55.313900000000046,49.386602778000054
412,Макаровское селище,55.287811111000053,49.400730556000042
413,Янтиковское (Кирельское) селище,55.146352778000050,49.162794444000042
414,Березовогривский VI могильник,55.200072222000074,49.717705556000055
415,Березовогривское II селище,55.183988889000034,49.703272222000066
416,Бураковское II селище,55.123863889000063,49.654094444000066
417,Городище на Базяковском взвозе,55.176786111000069,49.683933333000027
418,Измерское II селище,55.142458333000036,49.547341667000069
419,Коминтерновский II могильник,55.156216667000081,49.567244444000039
420,Коминтерновский III могильник,55.153905556000041,49.562511111000049
421,Коминтерновское IIIа селище,55.149375000000077,49.561211111000034
422,Коминтерновское местонахождение,55.146052778000069,49.580869444000029
423,Нижнемарьянская стоянка XII селище,55.167950000000076,49.587719444000072
424,Селище на Базяковском взвозе,55.174702778000039,49.682280556000080
425,У Пичкасского рыбопитомника селище,55.122372222000081,49.544730556000047
426,Христофоровское селище,55.146580556000060,49.559925000000078
427,Селище Городок,55.279597222000064,49.912094444000047
428,Васильевское I селище,55.089038889000051,50.730747222000048
429,Старофедоровское I селище,55.294197222000037,50.005769444000066
430,Бабий Бугор селище,54.986530556000048,49.043366667000043
431,Мокрокурналинское поселение II селище,55.311347222000052,50.014994444000081
432,Мокрокурналинское поселение I селище,55.314422222000076,50.022291667000047
433,Карасье-Озерное селище,55.048125000000027,50.741519444000062
434,Карасье-Озерное IV местонахождение,55.046255556000062,50.742205556000044
435,Нижнесаврушинское селище,55.061591667000073,50.644119444000069
436,Русско-Чебоксарское II селище,55.066780556000026,50.910733333000053
437,Русско-Чебоксарское VI селище,55.050852778000035,50.910391667000056
438,Русско-Чебоксарское XIV местонахождение,55.051886111000044,50.907816667000077
439,Саврушинское I местонахождение,55.026952778000066,50.700825000000066
440,Старотатадамское II местонахождение,55.000705556000071,50.592780556000037
441,Азеевское III местонахождение,55.234130556000082,51.143083333000050
442,Андреевское Iа селище,55.032538889000080,51.428888889000064
443,Андреевское II селище,55.034233333000032,51.417816667000068
444,Горшковское II селище,55.241397222000046,51.224236111000039
445,Кармалинское I селище,55.308900000000051,51.201830556000061
446,Кармалинское II селище,55.306822222000051,51.200458333000029
447,Чаллыбашское I селище,55.113730556000064,51.029563889000030
448,Чертушкинское II селище,55.146691667000027,50.997002778000081
449,Акташское I селище,55.041763889000038,52.145172222000042
450,Акташское II селище,55.044019444000071,52.145125000000064
451,Катмышское селище,55.324811111000031,53.158766667000066
452,Староваряжское селище,55.328100000000063,53.194200000000080
453,Кильнинское III селище,54.824377778000041,48.452266667000060
454,Кильнинское IV селище,54.816813889000059,48.436775000000068
455,Кильнинское V селище,54.802469444000053,48.419952778000038
456,Хулашское I селище,54.826441667000040,48.466025000000059
457,Хулашское II селище,54.824019444000044,48.465680556000052
458,Арчиловское I селище,54.819933333000051,48.988588889000027
459,Большетарханское V местонахождение,54.710180556000068,48.543694444000039
460,Киртелинское городище,54.754550000000052,48.638786111000059
461,Тетюшское I городище,54.942186111000069,48.845188889000042
462,Тетюшское I селище,54.962227778000056,48.841272222000043
463,Маклашеевский IV могильник,54.817066667000063,49.024572222000074
464,Маклашеевский V могильник,54.819675000000075,49.032422222000037
465,Подывановское селище,54.988755556000058,49.056972222000070
466,Ржавецкое селище,54.999688889000026,49.144794444000070
467,Марасинское II селище,54.869602778000058,50.257736111000042
468,Старорусскоальметьевское селище,54.776852778000034,50.363100000000031
469,Черебатыровское I селище,54.841811111000027,50.477850000000046
470,МЮД V селище,54.708080556000027,50.789486111000031
471,МЮД VI селище,54.710361111000054,50.784830556000031
472,Новокиреметское  I селище,54.860255556000027,50.710602778000066
473,Новокиреметское II селище,54.864427778000049,50.718025000000068
474,Покровское III селище,54.708327778000069,50.857722222000064
475,Покровское IV селище,54.711997222000036,50.857250000000079
476,Староузеевское III селище,54.703319444000044,50.878322222000065
477,Староузеевское IV селище,54.703219444000069,50.889436111000066
478,Староузеевское V селище,54.708825000000047,50.898922222000067
479,Татсунчелеевское III селище,54.725802778000059,50.719658333000041
480,Татсунчелеевское IV селище,54.723236111000062,50.698891667000055
481,Татсунчелеевское V селище,54.725802778000059,50.690388889000076
482,Татсунчелеевское VI селище,54.717427778000058,50.716452778000075
483,Казанкинское I селище,54.665813889000049,51.338730556000030
