"IDPubRecord","IDPublication","PageNumber","IDMonument","Active"
"300","{00000024-0000-0000-0000-000000000000}","63-64","761","true"
"301","{00000004-0000-0000-0000-000000000000}","58","761","true"
"302","{00000006-0000-0000-0000-000000000000}","46-47","761","true"
"303","{00000001-0000-0000-0000-000000000000}","38","761","true"
"304","{00000032-0000-0000-0000-000000000000}","119","761","true"
"305","{0000000F-0000-0000-0000-000000000000}","38","761","true"
"306","{00000024-0000-0000-0000-000000000000}","64","762","true"
"307","{00000024-0000-0000-0000-000000000000}","63","763","true"
"308","{00000028-0000-0000-0000-000000000000}","67","764","true"
"309","{00000028-0000-0000-0000-000000000000}","37","765","true"
"310","{00000021-0000-0000-0000-000000000000}","88","766","true"
"311","{00000029-0000-0000-0000-000000000000}","16","767","true"
"312","{0000000F-0000-0000-0000-000000000000}","41","767","true"
"313","{00000004-0000-0000-0000-000000000000}","58","768","true"
"314","{00000006-0000-0000-0000-000000000000}","43-44","768","true"
"315","{00000021-0000-0000-0000-000000000000}","88","768","true"
"316","{0000000F-0000-0000-0000-000000000000}","33","768","true"
"317","{0000000D-0000-0000-0000-000000000000}","241","768","true"
"318","{00000019-0000-0000-0000-000000000000}","17","768","true"
"319","{0000000F-0000-0000-0000-000000000000}","33","769","true"
"320","{0000000D-0000-0000-0000-000000000000}","241","769","true"
"321","{00000021-0000-0000-0000-000000000000}","88","769","true"
"322","{00000024-0000-0000-0000-000000000000}","59","770","true"
"323","{0000000F-0000-0000-0000-000000000000}","37","770","true"
"324","{00000024-0000-0000-0000-000000000000}","60","771","true"
"325","{0000000F-0000-0000-0000-000000000000}","37","771","true"
"326","{00000024-0000-0000-0000-000000000000}","60","772","true"
"327","{0000000F-0000-0000-0000-000000000000}","37","772","true"
"328","{00000024-0000-0000-0000-000000000000}","59","773","true"
"329","{0000000F-0000-0000-0000-000000000000}","37","773","true"
"330","{00000032-0000-0000-0000-000000000000}","106","780","true"
"331","{0000000F-0000-0000-0000-000000000000}","42","786","true"
"332","{00000028-0000-0000-0000-000000000000}","30","786","true"
"333","{0000001B-0000-0000-0000-000000000000}","192-193","787","true"
"334","{00000032-0000-0000-0000-000000000000}","119","789","true"
"335","{B8A6906B-F8C1-4AE8-9EEF-ED9FB457264D}","56","789","true"
"337","{00000032-0000-0000-0000-000000000000}","119","793","true"
"338","{0000000F-0000-0000-0000-000000000000}","38","790","true"
"339","{00000024-0000-0000-0000-000000000000}","69","790","true"
"340","{00000004-0000-0000-0000-000000000000}","58","791","true"
"341","{00000006-0000-0000-0000-000000000000}","46","791","true"
"342","{0000000F-0000-0000-0000-000000000000}","38","791","true"
"343","{00000024-0000-0000-0000-000000000000}","70","791","true"
"344","{00000024-0000-0000-0000-000000000000}","70","792","true"
"345","{0000000F-0000-0000-0000-000000000000}","36","794","true"
"346","{0000001E-0000-0000-0000-000000000000}","113-114","794","true"
"347","{00000023-0000-0000-0000-000000000000}","93","795","true"
"348","{00000032-0000-0000-0000-000000000000}","107","795","true"
"349","{0000000F-0000-0000-0000-000000000000}","36","796","true"
"350","{00000025-0000-0000-0000-000000000000}","166-167","796","true"
"351","{00000001-0000-0000-0000-000000000000}","385-386","796","true"
"352","{0000001E-0000-0000-0000-000000000000}","114","796","true"
"353","{00000032-0000-0000-0000-000000000000}","107","796","true"
"354","{0000000F-0000-0000-0000-000000000000}","36","797","true"
"355","{0000001E-0000-0000-0000-000000000000}","114","797","true"
"356","{00000023-0000-0000-0000-000000000000}","94","798","true"
"357","{00000001-0000-0000-0000-000000000000}","384","799","true"
"358","{0000001E-0000-0000-0000-000000000000}","116","799","true"
"359","{0000000F-0000-0000-0000-000000000000}","36","799","true"
"360","{00000025-0000-0000-0000-000000000000}","167","799","true"
"361","{0000000F-0000-0000-0000-000000000000}","36","800","true"
"362","{00000028-0000-0000-0000-000000000000}","26","801","true"
"363","{0000000B-0000-0000-0000-000000000000}",,"802","true"
"364","{00000030-0000-0000-0000-000000000000}","357","802","true"
"365","{0000000F-0000-0000-0000-000000000000}","41","803","true"
"368","{0000000F-0000-0000-0000-000000000000}","41","806","true"
"369","{00000029-0000-0000-0000-000000000000}","15","806","true"
"370","{0000000F-0000-0000-0000-000000000000}","41","807","true"
"371","{00000029-0000-0000-0000-000000000000}","15","807","true"
"372","{1188A971-936A-404A-811C-853EFA637AF9}","258","807","true"
"373","{00000028-0000-0000-0000-000000000000}","36","808","true"
"374","{00000032-0000-0000-0000-000000000000}","106","809","true"
"375","{0000000F-0000-0000-0000-000000000000}","41","810","true"
"376","{0000000F-0000-0000-0000-000000000000}","41","811","true"
"377","{00000004-0000-0000-0000-000000000000}","58","812","true"
"378","{00000006-0000-0000-0000-000000000000}","46","812","true"
"379","{0000000D-0000-0000-0000-000000000000}","241","812","true"
"380","{0000000F-0000-0000-0000-000000000000}","34","812","true"
"381","{00000021-0000-0000-0000-000000000000}","83","812","true"
"382","{0000000F-0000-0000-0000-000000000000}","34","813","true"
"383","{00000004-0000-0000-0000-000000000000}","58","813","true"
"384","{00000006-0000-0000-0000-000000000000}","46","813","true"
"385","{00000021-0000-0000-0000-000000000000}","83","813","true"
"386","{00000025-0000-0000-0000-000000000000}","139","813","true"
"387","{0000000D-0000-0000-0000-000000000000}","241","813","true"
"388","{0000000F-0000-0000-0000-000000000000}","34","814","true"
"389","{00000004-0000-0000-0000-000000000000}","58","814","true"
"390","{00000006-0000-0000-0000-000000000000}","46","814","true"
"391","{0000000D-0000-0000-0000-000000000000}","241","814","true"
"392","{00000021-0000-0000-0000-000000000000}","82-83","814","true"
"393","{00000025-0000-0000-0000-000000000000}","139","814","true"
"394","{00000028-0000-0000-0000-000000000000}","40","815","true"
"395","{0000000F-0000-0000-0000-000000000000}","41","816","true"
"396","{0000000F-0000-0000-0000-000000000000}","38","817","true"
"397","{00000024-0000-0000-0000-000000000000}","80","817","true"
"398","{0000000F-0000-0000-0000-000000000000}","38","818","true"
"399","{00000024-0000-0000-0000-000000000000}","79","818","true"
"400","{0000000F-0000-0000-0000-000000000000}","36","819","true"
"401","{0000001E-0000-0000-0000-000000000000}","94","819","true"
"402","{0000000F-0000-0000-0000-000000000000}","34","820","true"
"403","{00000025-0000-0000-0000-000000000000}","133-134","820","true"
"404","{00000021-0000-0000-0000-000000000000}","71-71","820","true"
"405","{0000000F-0000-0000-0000-000000000000}","34","821","true"
"406","{00000021-0000-0000-0000-000000000000}","72","821","true"
"407","{00000029-0000-0000-0000-000000000000}","67","822","true"
"408","{00000029-0000-0000-0000-000000000000}","68","823","true"
"409","{0000000F-0000-0000-0000-000000000000}","40","824","true"
"410","{00000029-0000-0000-0000-000000000000}","13","824","true"
"411","{0000000F-0000-0000-0000-000000000000}","40","825","true"
"412","{00000029-0000-0000-0000-000000000000}","12-13","825","true"
"413","{1188A971-936A-404A-811C-853EFA637AF9}","257","825","true"
"414","{00000032-0000-0000-0000-000000000000}","115","827","true"
"415","{00000032-0000-0000-0000-000000000000}","107","828","true"
"416","{0000001B-0000-0000-0000-000000000000}","78-85","828","true"
"420","{00000012-0000-0000-0000-000000000000}","270, 187","828","true"
"421","{00000010-0000-0000-0000-000000000000}","151-152","828","true"
"422","{0000001B-0000-0000-0000-000000000000}","85-86","829","true"
"423","{00000012-0000-0000-0000-000000000000}","269-270, 278-287","829","true"
"424","{00000010-0000-0000-0000-000000000000}","151","829","true"
"425","{0000001B-0000-0000-0000-000000000000}","86","830","true"
"426","{0000002A-0000-0000-0000-000000000000}","172-184","831","true"
"427","{00000032-0000-0000-0000-000000000000}","107","831","true"
"428","{00000032-0000-0000-0000-000000000000}","107","834","true"
"429","{00000028-0000-0000-0000-000000000000}","17-18","833","true"
"430","{0000000F-0000-0000-0000-000000000000}","42","835","true"
"431","{B8A6906B-F8C1-4AE8-9EEF-ED9FB457264D}","150-151","837","true"
"432","{00000028-0000-0000-0000-000000000000}","48","837","true"
"433","{00000004-0000-0000-0000-000000000000}","58","838","true"
"434","{00000006-0000-0000-0000-000000000000}","46","838","true"
"435","{0000000F-0000-0000-0000-000000000000}","38","838","true"
"436","{00000024-0000-0000-0000-000000000000}","81","838","true"
"437","{00000021-0000-0000-0000-000000000000}","35","839","true"
"438","{00000021-0000-0000-0000-000000000000}","35","840","true"
"439","{00000021-0000-0000-0000-000000000000}","35","841","true"
"440","{00000021-0000-0000-0000-000000000000}","34-35","842","true"
"441","{0000000F-0000-0000-0000-000000000000}","35","843","true"
"442","{00000021-0000-0000-0000-000000000000}","54","843","true"
"443","{00000021-0000-0000-0000-000000000000}","54","844","true"
"444","{00000021-0000-0000-0000-000000000000}","49","845","true"
"445","{00000021-0000-0000-0000-000000000000}","49","846","true"
"446","{00000004-0000-0000-0000-000000000000}","58","847","true"
"447","{00000006-0000-0000-0000-000000000000}","46","847","true"
"448","{0000000F-0000-0000-0000-000000000000}","34","847","true"
"449","{0000000D-0000-0000-0000-000000000000}","241","847","true"
"450","{00000021-0000-0000-0000-000000000000}","85","847","true"
"451","{00000025-0000-0000-0000-000000000000}","138","847","true"
"452","{00000004-0000-0000-0000-000000000000}","58","848","true"
"453","{00000006-0000-0000-0000-000000000000}","46","848","true"
"454","{0000000D-0000-0000-0000-000000000000}","241","848","true"
"455","{0000000F-0000-0000-0000-000000000000}","34","848","true"
"456","{00000021-0000-0000-0000-000000000000}","85","848","true"
"457","{00000004-0000-0000-0000-000000000000}","58-59","849","true"
"458","{00000006-0000-0000-0000-000000000000}","46","849","true"
"459","{0000000D-0000-0000-0000-000000000000}","241","849","true"
"460","{0000000F-0000-0000-0000-000000000000}","34","849","true"
"461","{00000021-0000-0000-0000-000000000000}","85","849","true"
"462","{00000025-0000-0000-0000-000000000000}","138-139","849","true"
"463","{00000019-0000-0000-0000-000000000000}","17","849","true"
"464","{00000004-0000-0000-0000-000000000000}","58","850","true"
"465","{00000006-0000-0000-0000-000000000000}","46","850","true"
"466","{0000000D-0000-0000-0000-000000000000}","241","850","true"
"467","{0000000F-0000-0000-0000-000000000000}","34","850","true"
"468","{00000021-0000-0000-0000-000000000000}","84-85","850","true"
"469","{00000019-0000-0000-0000-000000000000}","17","850","true"
"470","{0000000F-0000-0000-0000-000000000000}","34","851","true"
"471","{00000021-0000-0000-0000-000000000000}","85","851","true"
"472","{00000007-0000-0000-0000-000000000000}","115","852","true"
"473","{0000000D-0000-0000-0000-000000000000}","252","852","true"
"474","{0000001B-0000-0000-0000-000000000000}","20","852","true"
"475","{00000021-0000-0000-0000-000000000000}","52","853","true"
"476","{00000025-0000-0000-0000-000000000000}","201","853","true"
"477","{00000036-0000-0000-0000-000000000000}","59","853","true"
"478","{0000000F-0000-0000-0000-000000000000}","35","854","true"
"479","{00000021-0000-0000-0000-000000000000}","52","854","true"
"480","{0000000F-0000-0000-0000-000000000000}","35","855","true"
"481","{00000021-0000-0000-0000-000000000000}","52","855","true"
