"IDSourceRecord","IDMonument","IDArchiveSource","PageNumber","Active"
"7","667","1",,"true"
"8","669","1",,"true"
"9","736","1",,"true"
"10","735","1",,"true"
"11","1098","1",,"true"
"12","1103","1",,"true"
"13","1105","1",,"true"
"14","1106","1",,"true"
"15","1107","1",,"true"
"16","1108","1",,"true"
"17","1109","1",,"true"
"18","1110","1",,"true"
"19","1239","1",,"true"
"20","1244","1",,"true"
