name,addr,dat,status,y,x,id
"Сургут, селище","Самарская область, Сергиевский район, 0,7 км к юго-западу от пос.Сургут",Не определена,1,51.160692,53.917028,46
"Суходол I, курганный могильник","Самарская область, Сергиевский район, 0,1 км к юго-западу от пос.Суходол",Не определена,1,51.217625,53.881819,47
"Суходол II, курганный могильник","Самарская область, Сергиевский район, 0,3 км к востоку от пос.Суходол",Не определена,1,51.248008,53.904533,48
"Суходол III, курганный могильник","Самарская область, Сергиевский район, 0,6 км к ВЮВ от пос.Суходол",Не определена,1,51.245433,53.896219,49
"Суходол IV, курганный могильник","Самарская область, Сергиевский район, 1,5 км к юго-востоку от пос.Суходол",Не определена,1,51.251442,53.882631,50
"Умет, селище","Самарская область, Сергиевский район, Северо-восточнее пос.Умет",Не определена,1,51.317886,53.755264,51
"Чекалино I, курганный могильник","Самарская область, Сергиевский район, 2 км к юго-востоку от с.Чекалино",Не определена,1,50.940986,53.863442,52
"Чекалино I, селище","Самарская область, Сергиевский район, 2,6 км к ЮЮЗ от с.Чекалино",Не определена,1,50.928797,53.855731,53
"Чекалино II, селище","Самарская область, Сергиевский район, 2,4 км к ЮЮЗ от с.Чекалино",Не определена,1,50.911031,53.854614,54
"Чекалино III, селище","Самарская область, Сергиевский район, 3,2 км к юго-западу от с.Чекалино",Не определена,1,50.90515,53.846036,55
"Чекалино IV, селище","Самарская область, Сергиевский район, 4 км к ЮЮЗ от с.Чекалино",Не определена,1,50.904892,53.842789,56
"Чекалино V, курганный могильник","Самарская область, Сергиевский район, 3 км к юго-западу от с.Чекалино",Не определена,1,50.9,53.85,57
"Чекалино V, селище","Самарская область, Сергиевский район, 3 км к юго-западу от с.Чекалино",Не определена,1,50.897169,53.854461,58
"Чекалино VI, селище","Самарская область, Сергиевский район, 2,3 км к юго-западу от с.Чекалино",Не определена,1,50.886525,53.857406,59
"Чекалино, курган одиночный","Самарская область, Сергиевский район, 4 км к северу от с.Чекалино",Не определена,1,50.905281,53.907558,60
"Чекалино, селище","Самарская область, Сергиевский район, 2 км к юго-востоку от с.Чекалино",Не определена,1,50.938753,53.859383,61
"Чемеричный I, курганный могильник","Самарская область, Сергиевский район, 0,8 км к востоку от пос.Чемеричный",Не определена,1,50.861103,53.791119,62
"Чемеричный II, курганный могильник","Самарская область, Сергиевский район, 2 км к северо-востоку от пос.Чемеричный",Не определена,1,50.868314,53.801792,63
"Черновка (1079 км), курган одиночный","Самарская область, Сергиевский район, 4 км к ВСВ от с.Черновка",Не определена,1,50.83985,53.721894,64
"Черновка I, курган одиночный","Самарская область, Сергиевский район, 2,5 км к северо-востоку от с.Черновка",Не определена,1,50.788953,53.726983,65
"Черновка I, курганный могильник","Самарская область, Сергиевский район, 1 км к юго-западу от с.Черновка",Не определена,1,50.759511,53.692867,66
"Черновка II, курган одиночный","Самарская область, Сергиевский район, 0,8 км к северо-востоку от с.Черновка",Не определена,1,50.774361,53.721994,67
"Черновка II, курганный могильник","Самарская область, Сергиевский район, 1,2 км к юго-западу от с.Черновка",Не определена,1,50.757194,53.691714,68
"Черновка III, курган одиночный","Самарская область, Сергиевский район, 3 км к северо-востоку от с.Черновка",Не определена,1,50.787664,53.739808,69
"Черновка III, курганный могильник","Самарская область, Сергиевский район, 2 км к юго-западу от с.Черновка",Не определена,1,50.746981,53.685767,70
"Черновка IV, курганный могильник","Самарская область, Сергиевский район, 3 км к юго-востоку от с.Черновка",Не определена,1,50.811053,53.687597,71
"Черновка IX, курганный могильник","Самарская область, Сергиевский район, 4 км к юго-западу от с.Черновка",Не определена,1,50.736294,53.673769,72
"Черновка V, курганный могильник","Самарская область, Сергиевский район, 2,5 км к юго-востоку от с.Черновка",Не определена,1,50.8138,53.699947,73
"Черновка VI, курганный могильник","Самарская область, Сергиевский район, 2 км к юго-западу от с.Черновка",Не определена,1,50.742517,53.691308,74
"Черновка VII, курганный могильник","Самарская область, Сергиевский район, 3 км к юго-западу от с.Черновка",Не определена,1,50.736294,53.684394,75
"Черновка VIII, курганный могильник","Самарская область, Сергиевский район, 2 км к юго-востоку от с.Черновка",Не определена,1,50.814572,53.692528,76
"Черновка X, курганный могильник","Самарская область, Сергиевский район, 4 км к юго-западу от с.Черновка",Не определена,1,50.740758,53.670972,77
"Черновка XI, курганный могильник","Самарская область, Сергиевский район, 3 км к северо-востоку от с.Черновка",Не определена,1,50.796461,53.736211,78
"Черновка XII, курганный могильник","Самарская область, Сергиевский район, 3,5 км к ВСВ от с.Черновка",Не определена,1,50.817661,53.716,79
"Черновка XIII, курганный могильник","Самарская область, Сергиевский район, 1 км к юго-востоку от с.Черновка",Не определена,1,50.786419,53.689275,80
