name,addr,dat,y,x,status,id
Б. Ошнянское кладбище ,"Республика Татарстан, Алькеевский район",не определена,49.857897,54.877067,2,132
Городище 'Тарасова пристань',"Республика Татарстан, Рыбно-Слободский район",не определена,50.811431,55.492725,2,133
Городище 'Троицкий Урай' I,"Республика Татарстан, Рыбно-Слободский район",не определена,50.206164,55.463331,2,134
Городище 'Троицкий Урай' II,"Республика Татарстан, Рыбно-Слободский район",не определена,50.207944,55.463372,2,135
Казакларское кладбище XVI в. ,"Республика Татарстан, Рыбно-Слободский район",XVI в.,50.669433,55.650031,2,136
Сорочьегорское городище,"Республика Татарстан, Рыбно-Слободский район",не определена,49.945053,55.373075,2,137
Челнинское городище,"Республика Татарстан, Рыбно-Слободский район",не определена,50.664933,55.636989,2,138
Черепашное городище,"Республика Татарстан, Рыбно-Слободский район",не определена,50.762635,55.466952,2,139
Елышевское селище ,"Республика Татарстан, Сабинский район",не определена,50.492817,55.844531,2,140
Мамаевское селише,"Республика Татарстан, Сабинский район",не определена,50.441475,55.862833,2,141
Балымерское городище ,"Республика Татарстан, Спасский район",не определена,48.941336,54.88845,2,142
Бураковско-Кожаевский вал,"Республика Татарстан, Спасский район",не определена,49.656394,55.127728,2,143
Городище 'Сувар' ,"Республика Татарстан, Спасский район",X-XIV вв.,49.573897,54.696617,2,144
Гусихинское городище,"Республика Татарстан, Спасский район",не определена,49.5292,54.891747,2,145
Измерский могильник,"Республика Татарстан, Спасский район",не определена,49.539671,55.131386,2,146
Кожаевское городище ,"Республика Чувашия, Алатырский район",не определена,46.683756,54.717133,2,147
Косяковское селище ,"Республика Татарстан, Спасский район",не определена,49.432333,55.066658,2,148
Куйбышевский могильник ,"Республика Татарстан, Камско-Устьинский район",не определена,48.830253,55.235736,2,149
Куйбышевское городище,"Республика Татарстан, Спасский район",не определена,49.38285,55.044264,2,150
Куйбышевско-Кураловский вал ,"Республика Татарстан, Алькеевский район",не определена,49.855503,54.917297,2,151
Кураловская стоянка ,"Республика Татарстан, Спасский район",не определена,49.424542,55.034036,2,152
Кураловское селище ,"Республика Татарстан, Спасский район",не определена,49.427203,55.032289,2,153
Никольский вал,"Республика Татарстан, Спасский район",не определена,49.348372,54.928383,2,154
